bird_id,colony,visit_count
L01532-OOPM,LLOD_20,44
L01535-RYPM,LLOD_05,1
L01535-RYPM,LLOD_20,586
L01543-YRYM,MSTO_29,1
L01545-BMYB,SPRA_42,762
L01546-BMYO,SPRA_01,209
L01546-BMYO,SPRA_42,1
L01547-BMYW,SPRA_02,565
L01548-RMPY,SPRA_02,650
L01549-PMPK,SPRA_02,4
L01549-PMPK,SPRA_41,111
L01549-PMPK,SPRA_42,356
L01550-YGMKK,SPRA_42,1775
L01551-YGMKR,SPRA_02,1
L01551-YGMKR,SPRA_42,474
L01552-MWWP,MSTO_28,230
L01552-MWWP,MSTO_31,67
L01554-KBBM,LLOD_20,538
L01556-KWKM,LLOD_20,4
L01557-WYYM,LLOD_04,1
L01557-WYYM,LLOD_05,2
L01564-BRRM,LLOD_04,1
L01564-BRRM,LLOD_05,1
L01568-YYPM,LLOD_20,11
L01569-RBBM,LLOD_20,1
L01573-KOKM,LLOD_20,4
L01575-ORPM,LLOD_20,65
L01576-WMBB,SPRA_42,2
L01577-KMWK,SPRA_42,6
L01577-KMWK,SPRA_49,134
L01578-YGMPP,SPRA_42,308
L01579-YGMPK,SPRA_42,10
L01580-YGMBB,SPRA_42,9
L01587-KKYGM,LLOD_04,838
L01588-YGMWO,SPRA_42,120
L01589-RRYM,LLOD_04,28
L01590-BOYGM,LLOD_05,258
L01591-OYYGM,LLOD_05,324
L01592-RKYGM,LLOD_05,178
L01593-WBYGM,LLOD_05,317
L01594-OWYGM,LLOD_05,132
L01595-WMOP,SPRA_02,368
L01595-WMOP,SPRA_42,1
L01597-OMPB,SPRA_02,518
L01598-PMYR,SPRA_01,1
L01598-PMYR,SPRA_42,336
L01599-PMWO,SPRA_02,1
L01599-PMWO,SPRA_09,2
L01599-PMWO,SPRA_41,2
L01599-PMWO,SPRA_42,15
L01600-PMYW,SPRA_01,2
L01600-PMYW,SPRA_02,3
L01600-PMYW,SPRA_42,17
L01600-PMYW,SPRA_49,60
XL1402-MOOP,MSTO_28,768
XL1415-WMBY,SPRA_42,344
XL1421-BMWP,SPRA_42,932
XL1427-PMRW,SPRA_42,1418
XL1431-BMBP,SPRA_42,1218
XL1433-PMBR,SPRA_42,1853
XL1433-PMBR,SPRA_46,1
XL1438-YMOB,SPRA_42,1350
XL1442-WMYW,SPRA_41,1
XL1442-WMYW,SPRA_42,1844
XL1443-OMPY,SPRA_42,2004
XL1446-YMRW,SPRA_42,1973
XL1448-PMYK,SPRA_42,1621
XL1451-WMOB,SPRA_42,2066
XL1455-BMWO,SPRA_42,1563
XL1457-BMYK,SPRA_42,708
XL1461-OMWO,SPRA_42,1271
XL1465-OMKW,SPRA_34,390
XL1465-OMKW,SPRA_46,340
XL1466-PMWY,SPRA_42,1208
XL1474-OMYW,SPRA_42,392
XL1484-RMOR,SPRA_01,755
XL1484-RMOR,SPRA_42,3
XL1485-OMPW,SPRA_02,1
XL1485-OMPW,SPRA_42,1586
XL1499-BMBW,MSTO_29,6
XL1499-BMBW,MSTO_30,29
XL1502-WMYO,SPRA_42,1553
XL1507-MBOP,MSTO_29,4
XL1507-MBOP,MSTO_34,85
XL1543-RMKY,SPRA_09,21
XL1549-BMWY,SPRA_42,1949
XL1555-WMPO,SPRA_01,1330
XL1555-WMPO,SPRA_42,2
XL1559-MPKP,MSTO_29,22
XL1559-MPKP,MSTO_30,146
XL1559-MPKP,MSTO_34,2
XL1566-OMBW,SPRA_42,2066
XL1568-_ _YGM,MSTO_29,22
XL1568-_ _YGM,MSTO_30,8
XL1568-_ _YGM,SPRA_42,3
XL1588-BKYM,LLOD_20,190
XL1593-YKWM,LLOD_20,345
XL1596-RPWM,LLOD_20,129
XL1597-BYOM,LLOD_20,58
XL1599-OKRM,LLOD_20,824
XL1600-RRBM,LLOD_05,3
XL1600-RRBM,LLOD_20,288
XL1603-PYWM,LLOD_12,27
